Java HotSpot(TM) 64-Bit Server VM (25.45-b02) for bsd-amd64 JRE (1.8.0_45-b14), built on Apr 10 2015 10:46:38 by "java_re" with gcc 4.2.1 (Based on Apple Inc. build 5658) (LLVM build 2336.11.00)
Memory: 4k page, physical 16777216k(1936628k free)

/proc/meminfo:

CommandLine flags: -XX:+CMSClassUnloadingEnabled -XX:+CMSScavengeBeforeRemark -XX:+DisableExplicitGC -XX:InitialHeapSize=1073741824 -XX:+ManagementServer -XX:MaxHeapSize=1073741824 -XX:MaxNewSize=348966912 -XX:MaxTenuringThreshold=6 -XX:NewSize=348966912 -XX:OldPLABSize=16 -XX:OldSize=697933824 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseConcMarkSweepGC -XX:+UseParNewGC 
2015-08-18T14:39:23.639+0500: 1590.548: [GC (Allocation Failure) 1590.548: [ParNew: 273931K->664K(306688K), 0.0265424 secs] 278941K->5675K(1014528K), 0.0267753 secs] [Times: user=0.05 sys=0.00, real=0.03 secs] 
2015-08-18T14:41:01.589+0500: 1688.501: [GC (Allocation Failure) 1688.501: [ParNew: 273304K->3077K(306688K), 0.0109145 secs] 278315K->8090K(1014528K), 0.0110002 secs] [Times: user=0.03 sys=0.00, real=0.02 secs] 
2015-08-18T14:42:44.973+0500: 1791.886: [GC (Allocation Failure) 1791.886: [ParNew: 275717K->6226K(306688K), 0.0200653 secs] 280730K->11240K(1014528K), 0.0201808 secs] [Times: user=0.05 sys=0.01, real=0.02 secs] 
2015-08-18T14:44:39.920+0500: 1906.836: [GC (Allocation Failure) 1906.836: [ParNew: 278866K->8456K(306688K), 0.0258687 secs] 283880K->13489K(1014528K), 0.0259470 secs] [Times: user=0.05 sys=0.00, real=0.02 secs] 
2015-08-18T14:46:35.631+0500: 2022.548: [GC (Allocation Failure) 2022.549: [ParNew: 281096K->10886K(306688K), 0.0305618 secs] 286129K->15920K(1014528K), 0.0306473 secs] [Times: user=0.06 sys=0.01, real=0.03 secs] 
2015-08-18T14:48:46.961+0500: 2153.881: [GC (Allocation Failure) 2153.881: [ParNew: 283526K->14118K(306688K), 0.0284573 secs] 288560K->19153K(1014528K), 0.0286221 secs] [Times: user=0.06 sys=0.00, real=0.03 secs] 
2015-08-18T14:50:56.080+0500: 2283.002: [GC (Allocation Failure) 2283.002: [ParNew: 286758K->12792K(306688K), 0.0156656 secs] 291793K->17828K(1014528K), 0.0157482 secs] [Times: user=0.05 sys=0.00, real=0.01 secs] 
2015-08-18T14:53:40.593+0500: 2447.518: [GC (Allocation Failure) 2447.518: [ParNew: 285432K->10774K(306688K), 0.0593612 secs] 290468K->18516K(1014528K), 0.0594870 secs] [Times: user=0.10 sys=0.01, real=0.06 secs] 
2015-08-18T14:55:34.220+0500: 2561.147: [GC (Allocation Failure) 2561.147: [ParNew: 283414K->6848K(306688K), 0.0313135 secs] 291156K->16559K(1014528K), 0.0314021 secs] [Times: user=0.05 sys=0.01, real=0.03 secs] 
2015-08-18T14:57:31.729+0500: 2678.658: [GC (Allocation Failure) 2678.658: [ParNew: 279488K->4563K(306688K), 0.0280711 secs] 289199K->16230K(1014528K), 0.0281603 secs] [Times: user=0.05 sys=0.01, real=0.03 secs] 
2015-08-18T14:59:49.540+0500: 2816.471: [GC (Allocation Failure) 2816.471: [ParNew: 277203K->2125K(306688K), 0.0189734 secs] 288870K->16018K(1014528K), 0.0190888 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2015-08-18T15:02:03.991+0500: 2950.925: [GC (Allocation Failure) 2950.925: [ParNew: 274765K->988K(306688K), 0.0098900 secs] 288658K->14880K(1014528K), 0.0099796 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2015-08-18T15:04:51.982+0500: 3118.919: [GC (Allocation Failure) 3118.919: [ParNew: 273628K->606K(306688K), 0.0158184 secs] 287520K->14500K(1014528K), 0.0159026 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2015-08-18T15:06:42.973+0500: 3229.912: [GC (Allocation Failure) 3229.912: [ParNew: 273246K->677K(306688K), 0.0065573 secs] 287140K->14573K(1014528K), 0.0066449 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2015-08-18T15:08:55.933+0500: 3362.874: [GC (Allocation Failure) 3362.874: [ParNew: 273317K->780K(306688K), 0.0101306 secs] 287213K->14676K(1014528K), 0.0102167 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2015-08-18T15:12:19.087+0500: 3566.032: [GC (Allocation Failure) 3566.032: [ParNew: 273420K->670K(306688K), 0.0060202 secs] 287316K->14566K(1014528K), 0.0061012 secs] [Times: user=0.01 sys=0.01, real=0.01 secs] 
2015-08-18T15:14:25.952+0500: 3692.899: [GC (Allocation Failure) 3692.899: [ParNew: 273310K->838K(306688K), 0.0059360 secs] 287206K->14737K(1014528K), 0.0060178 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2015-08-18T15:16:52.954+0500: 3839.903: [GC (Allocation Failure) 3839.903: [ParNew: 273478K->629K(306688K), 0.0062205 secs] 287377K->14528K(1014528K), 0.0062984 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2015-08-18T15:18:55.168+0500: 3962.120: [GC (Allocation Failure) 3962.120: [ParNew: 273269K->899K(306688K), 0.0241860 secs] 287168K->14798K(1014528K), 0.0242728 secs] [Times: user=0.02 sys=0.00, real=0.03 secs] 
2015-08-18T15:21:42.576+0500: 4129.530: [GC (Allocation Failure) 4129.530: [ParNew: 273539K->747K(306688K), 0.0080042 secs] 287438K->14647K(1014528K), 0.0080941 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2015-08-18T15:24:28.814+0500: 4295.772: [GC (Allocation Failure) 4295.772: [ParNew: 273387K->2585K(306688K), 0.0158420 secs] 287287K->16491K(1014528K), 0.0159353 secs] [Times: user=0.03 sys=0.00, real=0.02 secs] 
2015-08-18T15:26:44.040+0500: 4431.000: [GC (Allocation Failure) 4431.000: [ParNew: 275225K->3306K(306688K), 0.0122612 secs] 289131K->17213K(1014528K), 0.0123582 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
2015-08-18T15:28:52.602+0500: 4559.564: [GC (Allocation Failure) 4559.564: [ParNew: 275946K->3771K(306688K), 0.0102838 secs] 289853K->17680K(1014528K), 0.0103739 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
2015-08-18T15:31:39.903+0500: 4726.868: [GC (Allocation Failure) 4726.868: [ParNew: 276411K->4209K(306688K), 0.0094200 secs] 290320K->18119K(1014528K), 0.0095179 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2015-08-18T15:34:38.707+0500: 4905.675: [GC (Allocation Failure) 4905.675: [ParNew: 276849K->3471K(306688K), 0.0125829 secs] 290759K->17381K(1014528K), 0.0126570 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2015-08-18T15:38:27.578+0500: 5134.551: [GC (Allocation Failure) 5134.551: [ParNew: 276111K->3371K(306688K), 0.0153468 secs] 290021K->17285K(1014528K), 0.0154528 secs] [Times: user=0.03 sys=0.00, real=0.02 secs] 
2015-08-18T15:40:54.195+0500: 5281.170: [GC (Allocation Failure) 5281.170: [ParNew: 276011K->2438K(306688K), 0.0277990 secs] 289925K->17228K(1014528K), 0.0278776 secs] [Times: user=0.05 sys=0.00, real=0.03 secs] 
2015-08-18T15:42:59.895+0500: 5406.872: [GC (Allocation Failure) 5406.872: [ParNew: 275078K->2757K(306688K), 0.0112547 secs] 289868K->17697K(1014528K), 0.0113437 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2015-08-18T15:44:57.542+0500: 5524.522: [GC (Allocation Failure) 5524.522: [ParNew: 275397K->2110K(306688K), 0.0137034 secs] 290337K->17427K(1014528K), 0.0137859 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
